id,landmark_id
radcliffe_camera_000246,14
christ_church_001016,4
magdalen_000137,9
balliol_000078,2
pitt_rivers_000043,13
bodleian_000244,3
oxford_002294,12
christ_church_000067,4
ashmolean_000287,1
radcliffe_camera_000440,14
oxford_003205,12
balliol_000085,2
oxford_000383,12
magdalen_000285,9
trinity_000233,15
oxford_001434,12
oxford_001231,12
radcliffe_camera_000340,14
bodleian_000441,3
christ_church_001030,4
magdalen_001121,9
pitt_rivers_000033,13
magdalen_000248,9
magdalen_001059,9
magdalen_000990,9
ashmolean_000298,1
oxford_000298,12
radcliffe_camera_000559,14
all_souls_000100,0
christ_church_000999,4
oxford_003382,12
magdalen_000263,9
magdalen_000373,9
oxford_003036,12
worcester_000147,16
magdalen_000478,9
oxford_002145,12
worcester_000060,16
oxford_000865,12
radcliffe_camera_000381,14
oxford_002711,12
magdalen_001075,9
magdalen_001035,9
ashmolean_000248,1
bodleian_000265,3
oxford_001121,12
oxford_001192,12
new_000728,10
magdalen_000221,9
oxford_001147,12
oxford_002805,12
magdalen_000135,9
oxford_001559,12
oxford_002144,12
oxford_003632,12
oxford_003623,12
christ_church_000099,4
new_000421,10
magdalen_000268,9
radcliffe_camera_000220,14
christ_church_001104,4
magdalen_000651,9
jesus_000120,7
magdalen_000761,9
all_souls_000151,0
radcliffe_camera_000233,14
jesus_000036,7
jesus_000402,7
oxford_001692,12
oxford_003046,12
radcliffe_camera_000251,14
oxford_003162,12
magdalen_000692,9
oxford_003020,12
oxford_001390,12
bodleian_000400,3
oxford_001203,12
magdalen_000588,9
oxford_001928,12
christ_church_000444,4
oxford_001413,12
magdalen_000317,9
keble_000227,8
oxford_001889,12
magdalen_001145,9
bodleian_000167,3
magdalen_000449,9
magdalen_000749,9
oriel_000079,11
trinity_000127,15
pitt_rivers_000112,13
oxford_002200,12
christ_church_000312,4
trinity_000167,15
christ_church_000317,4
jesus_000364,7
balliol_000101,2
christ_church_000306,4
radcliffe_camera_000182,14
cornmarket_000110,5
oxford_001727,12
new_000356,10
magdalen_000412,9
trinity_000066,15
oxford_002888,12
magdalen_000783,9
oxford_001522,12
balliol_000096,2
hertford_000095,6
oriel_000066,11
trinity_000194,15
cornmarket_000124,5
radcliffe_camera_000450,14
oxford_003230,12
christ_church_000142,4
magdalen_000262,9
oxford_001063,12
oxford_000635,12
new_000603,10
oxford_000281,12
oxford_000453,12
balliol_000013,2
magdalen_000518,9
balliol_000028,2
keble_000248,8
radcliffe_camera_000533,14
oxford_002359,12
all_souls_000064,0
trinity_000332,15
christ_church_000760,4
ashmolean_000000,1
oxford_002317,12
balliol_000209,2
radcliffe_camera_000255,14
keble_000098,8
oxford_001244,12
worcester_000121,16
radcliffe_camera_000201,14
oxford_001531,12
magdalen_000963,9
oxford_003467,12
keble_000111,8
trinity_000133,15
oxford_000908,12
bodleian_000294,3
christ_church_000379,4
radcliffe_camera_000546,14
radcliffe_camera_000193,14
magdalen_000266,9
new_000042,10
magdalen_000800,9
bodleian_000041,3
new_000381,10
all_souls_000119,0
magdalen_000034,9
christ_church_000843,4
christ_church_001026,4
magdalen_000981,9
oxford_000405,12
jesus_000276,7
radcliffe_camera_000238,14
balliol_000007,2
magdalen_000538,9
oxford_000910,12
oxford_003249,12
radcliffe_camera_000135,14
keble_000181,8
oxford_000019,12
magdalen_000080,9
magdalen_000053,9
oxford_001484,12
christ_church_000176,4
new_000442,10
keble_000241,8
magdalen_001023,9
trinity_000209,15
ashmolean_000090,1
oxford_000769,12
oxford_001350,12
bodleian_000301,3
bodleian_000106,3
radcliffe_camera_000000,14
new_000930,10
christ_church_000091,4
oxford_001167,12
new_000480,10
oxford_000435,12
jesus_000308,7
balliol_000197,2
oxford_001278,12
new_000767,10
trinity_000300,15
bodleian_000422,3
oxford_001242,12
new_000879,10
oxford_002312,12
radcliffe_camera_000161,14
pitt_rivers_000197,13
oxford_000856,12
oxford_002496,12
christ_church_000694,4
bodleian_000236,3
oxford_002516,12
all_souls_000174,0
oxford_002375,12
christ_church_001014,4
christ_church_000396,4
magdalen_000228,9
new_000289,10
magdalen_000534,9
new_000404,10
christ_church_000351,4
magdalen_000147,9
new_000988,10
ashmolean_000232,1
christ_church_000208,4
radcliffe_camera_000122,14
new_000891,10
balliol_000152,2
ashmolean_000331,1
bodleian_000438,3
magdalen_001007,9
new_000962,10
new_000860,10
bodleian_000207,3
oxford_002594,12
magdalen_000965,9
oxford_001233,12
christ_church_000344,4
magdalen_000102,9
oxford_003021,12
magdalen_000601,9
oxford_001411,12
oxford_000808,12
oxford_000708,12
bodleian_000016,3
oxford_000946,12
oxford_001473,12
oxford_000580,12
keble_000017,8
new_000817,10
oriel_000085,11
trinity_000302,15
oxford_001383,12
oxford_003543,12
pitt_rivers_000139,13
new_000689,10
magdalen_001037,9
christ_church_000132,4
oxford_003111,12
ashmolean_000114,1
christ_church_000040,4
oxford_001905,12
oxford_002482,12
oxford_003161,12
jesus_000126,7
oxford_001804,12
christ_church_000288,4
bodleian_000009,3
jesus_000386,7
radcliffe_camera_000297,14
christ_church_000710,4
balliol_000189,2
bodleian_000002,3
christ_church_000356,4
oxford_002978,12
christ_church_000104,4
oxford_001453,12
radcliffe_camera_000040,14
pitt_rivers_000146,13
trinity_000336,15
pitt_rivers_000031,13
keble_000137,8
oxford_002182,12
oxford_002689,12
oxford_000400,12
keble_000050,8
christ_church_000842,4
pitt_rivers_000190,13
new_001078,10
magdalen_000826,9
magdalen_000729,9
oxford_000359,12
christ_church_001049,4
oxford_003178,12
christ_church_000535,4
magdalen_000781,9
oxford_002639,12
magdalen_000161,9
new_000786,10
jesus_000312,7
new_000107,10
keble_000005,8
oxford_002803,12
oxford_001359,12
ashmolean_000294,1
keble_000213,8
oxford_001851,12
keble_000104,8
radcliffe_camera_000226,14
ashmolean_000118,1
oxford_000902,12
oxford_000823,12
jesus_000348,7
bodleian_000262,3
new_000857,10
magdalen_000153,9
oxford_002121,12
christ_church_000279,4
new_000952,10
magdalen_000987,9
radcliffe_camera_000410,14
bodleian_000446,3
oxford_001086,12
oxford_003135,12
oxford_002606,12
bodleian_000320,3
magdalen_000298,9
trinity_000090,15
christ_church_000160,4
christ_church_000358,4
oxford_001104,12
oxford_000041,12
oxford_003305,12
christ_church_000269,4
trinity_000014,15
new_000656,10
ashmolean_000220,1
ashmolean_000098,1
christ_church_000100,4
oxford_002627,12
oxford_000683,12
cornmarket_000061,5
christ_church_000166,4
new_000909,10
oxford_002912,12
oxford_002336,12
balliol_000173,2
new_000040,10
radcliffe_camera_000294,14
oxford_000940,12
jesus_000323,7
oxford_003383,12
oriel_000090,11
radcliffe_camera_000419,14
christ_church_000436,4
ashmolean_000266,1
radcliffe_camera_000042,14
oriel_000068,11
trinity_000034,15
magdalen_000090,9
oriel_000035,11
all_souls_000044,0
oxford_001465,12
magdalen_000171,9
trinity_000227,15
oxford_002556,12
oxford_000109,12
new_000629,10
jesus_000013,7
jesus_000285,7
christ_church_001040,4
christ_church_000215,4
jesus_000303,7
bodleian_000104,3
christ_church_000264,4
magdalen_000249,9
magdalen_000061,9
all_souls_000140,0
christ_church_000645,4
new_000678,10
pitt_rivers_000113,13
oxford_000327,12
jesus_000343,7
oxford_003056,12
balliol_000016,2
new_000671,10
christ_church_001158,4
trinity_000374,15
oxford_002056,12
radcliffe_camera_000167,14
oxford_003090,12
new_000407,10
oxford_003225,12
cornmarket_000039,5
christ_church_000355,4
magdalen_000542,9
radcliffe_camera_000377,14
oxford_002128,12
bodleian_000357,3
oxford_003031,12
ashmolean_000209,1
oxford_003346,12
jesus_000042,7
oriel_000075,11
ashmolean_000229,1
magdalen_000961,9
magdalen_001148,9
magdalen_001073,9
new_000863,10
magdalen_000050,9
oxford_002569,12
magdalen_000750,9
keble_000033,8
trinity_000178,15
christ_church_001006,4
magdalen_000618,9
all_souls_000117,0
magdalen_000385,9
oxford_000519,12
magdalen_000340,9
jesus_000113,7
new_000364,10
oxford_002295,12
balliol_000098,2
radcliffe_camera_000089,14
jesus_000396,7
magdalen_000695,9
christ_church_001136,4
cornmarket_000033,5
keble_000182,8
magdalen_001006,9
new_000819,10
new_000706,10
new_000075,10
ashmolean_000169,1
magdalen_001021,9
oxford_002575,12
christ_church_000402,4
new_000419,10
bodleian_000319,3
oxford_002044,12
oxford_001193,12
magdalen_000988,9
magdalen_001142,9
pitt_rivers_000153,13
oxford_001259,12
hertford_000108,6
christ_church_001083,4
oxford_002431,12
new_001012,10
magdalen_000494,9
hertford_000062,6
oxford_000882,12
all_souls_000087,0
oxford_003007,12
ashmolean_000207,1
jesus_000360,7
oxford_002352,12
christ_church_000711,4
oxford_002251,12
all_souls_000136,0
hertford_000063,6
christ_church_001025,4
oxford_003328,12
oxford_003110,12
magdalen_000038,9
magdalen_000866,9
oxford_003505,12
ashmolean_000206,1
new_000994,10
keble_000107,8
bodleian_000356,3
oxford_001900,12
oxford_000014,12
balliol_000025,2
oxford_002337,12
oxford_002947,12
ashmolean_000270,1
magdalen_000699,9
oxford_003633,12
oxford_002139,12
magdalen_000414,9
magdalen_000876,9
oxford_003077,12
keble_000093,8
worcester_000064,16
magdalen_000680,9
christ_church_001058,4
magdalen_000216,9
balliol_000118,2
new_000902,10
oriel_000018,11
new_000990,10
pitt_rivers_000194,13
christ_church_000641,4
oxford_003381,12
oxford_002588,12
new_000370,10
oxford_001898,12
oxford_002866,12
oxford_001761,12
worcester_000126,16
jesus_000296,7
bodleian_000025,3
pitt_rivers_000174,13
magdalen_000592,9
new_000462,10
oxford_002045,12
oxford_002811,12
oxford_000610,12
new_000858,10
keble_000019,8
oxford_000709,12
oxford_000901,12
new_001082,10
christ_church_000688,4
new_000156,10
trinity_000293,15
pitt_rivers_000000,13
oxford_001225,12
oxford_001780,12
bodleian_000102,3
oxford_003095,12
new_000298,10
oxford_000176,12
oxford_001693,12
magdalen_000700,9
christ_church_000339,4
bodleian_000072,3
new_000053,10
christ_church_000762,4
magdalen_000230,9
new_000094,10
radcliffe_camera_000407,14
jesus_000328,7
pitt_rivers_000134,13
magdalen_000971,9
ashmolean_000262,1
christ_church_001032,4
new_000331,10
ashmolean_000177,1
new_000812,10
christ_church_000836,4
all_souls_000027,0
trinity_000012,15
oxford_000562,12
magdalen_000127,9
trinity_000262,15
oxford_002966,12
oxford_002789,12
new_000134,10
oxford_003313,12
magdalen_000605,9
oxford_000712,12
magdalen_000485,9
magdalen_000185,9
christ_church_001114,4
all_souls_000051,0
oxford_003407,12
ashmolean_000258,1
bodleian_000323,3
new_001087,10
worcester_000120,16
magdalen_000259,9
christ_church_001035,4
oxford_001342,12
christ_church_001078,4
radcliffe_camera_000453,14
radcliffe_camera_000289,14
oxford_000087,12
keble_000061,8
oxford_000511,12
jesus_000245,7
christ_church_000920,4
balliol_000071,2
ashmolean_000129,1
ashmolean_000307,1
keble_000188,8
christ_church_001024,4
balliol_000204,2
christ_church_000320,4
worcester_000194,16
oxford_003424,12
christ_church_000889,4
magdalen_000173,9
magdalen_000305,9
radcliffe_camera_000343,14
radcliffe_camera_000386,14
magdalen_000767,9
christ_church_000810,4
oxford_003291,12
oxford_002954,12
jesus_000304,7
oxford_002948,12
oxford_000129,12
pitt_rivers_000055,13
oxford_000280,12
jesus_000306,7
christ_church_001019,4
oxford_001877,12
oxford_001393,12
oxford_000201,12
oxford_002190,12
new_000816,10
all_souls_000131,0
oriel_000046,11
oriel_000051,11
oxford_001144,12
all_souls_000132,0
all_souls_000157,0
christ_church_000958,4
balliol_000202,2
trinity_000130,15
christ_church_000165,4
magdalen_000576,9
oxford_003047,12
oxford_001134,12
magdalen_000604,9
oxford_003060,12
oxford_002368,12
magdalen_000304,9
magdalen_000387,9
all_souls_000047,0
new_001065,10
new_000283,10
pitt_rivers_000086,13
christ_church_000977,4
all_souls_000005,0
oxford_002956,12
keble_000043,8
cornmarket_000065,5
oxford_001349,12
oxford_002120,12
oxford_000918,12
christ_church_001015,4
radcliffe_camera_000402,14
oxford_001159,12
oxford_000128,12
new_000374,10
oxford_003149,12
balliol_000080,2
magdalen_000829,9
oxford_002961,12
christ_church_000643,4
radcliffe_camera_000241,14
trinity_000000,15
trinity_000296,15
jesus_000335,7
oxford_001195,12
magdalen_000728,9
jesus_000319,7
christ_church_000393,4
oxford_000673,12
new_000759,10
oxford_000476,12
oxford_001747,12
oxford_001987,12
ashmolean_000123,1
oxford_000247,12
magdalen_000196,9
trinity_000360,15
radcliffe_camera_000531,14
oxford_000984,12
jesus_000122,7
jesus_000100,7
christ_church_000157,4
new_000690,10
new_000420,10
oxford_002906,12
jesus_000307,7
christ_church_000115,4
oxford_001935,12
magdalen_000150,9
radcliffe_camera_000092,14
magdalen_000488,9
christ_church_000089,4
oxford_000184,12
oxford_001650,12
balliol_000137,2
oxford_002424,12
all_souls_000184,0
christ_church_000974,4
magdalen_000245,9
balliol_000208,2
hertford_000056,6
bodleian_000146,3
oxford_000883,12
radcliffe_camera_000279,14
magdalen_000186,9
pitt_rivers_000008,13
trinity_000135,15
radcliffe_camera_000190,14
magdalen_000330,9
new_000693,10
oriel_000038,11
christ_church_000509,4
new_000681,10
oxford_001893,12
radcliffe_camera_000468,14
oxford_001802,12
ashmolean_000176,1
jesus_000384,7
oxford_001716,12
oxford_003478,12
christ_church_000395,4
new_000318,10
magdalen_000623,9
new_000043,10
oxford_000480,12
new_000353,10
radcliffe_camera_000181,14
magdalen_000476,9
pitt_rivers_000132,13
christ_church_000139,4
jesus_000289,7
ashmolean_000223,1
radcliffe_camera_000103,14
new_000422,10
worcester_000070,16
oxford_001437,12
hertford_000068,6
new_000735,10
ashmolean_000254,1
radcliffe_camera_000534,14
magdalen_000183,9
bodleian_000062,3
christ_church_000071,4
oxford_000456,12
oxford_002183,12
new_000434,10
hertford_000070,6
radcliffe_camera_000443,14
new_001111,10
balliol_000106,2
ashmolean_000221,1
christ_church_000648,4
ashmolean_000174,1
ashmolean_000168,1
new_000024,10
balliol_000171,2
oxford_002367,12
oxford_002307,12
magdalen_000252,9
oxford_000699,12
pitt_rivers_000073,13
oxford_001276,12
magdalen_000349,9
pitt_rivers_000096,13
keble_000105,8
radcliffe_camera_000232,14
jesus_000355,7
christ_church_000052,4
new_000854,10
new_000889,10
ashmolean_000173,1
oxford_001641,12
cornmarket_000098,5
oxford_002134,12
magdalen_000869,9
balliol_000164,2
oxford_000676,12
oxford_003059,12
magdalen_000596,9
christ_church_000002,4
magdalen_000505,9
magdalen_000188,9
bodleian_000409,3
oxford_000125,12
oxford_002284,12
balliol_000109,2
magdalen_000730,9
new_000355,10
oriel_000026,11
magdalen_000663,9
balliol_000102,2
magdalen_000031,9
radcliffe_camera_000086,14
magdalen_000409,9
new_000347,10
oriel_000074,11
oxford_003029,12
trinity_000195,15
oxford_002624,12
magdalen_000862,9
oxford_003532,12
oxford_001307,12
oxford_002162,12
oxford_000962,12
oxford_000170,12
oxford_001241,12
balliol_000100,2
radcliffe_camera_000372,14
magdalen_001118,9
jesus_000129,7
ashmolean_000080,1
oxford_000743,12
christ_church_000447,4
oxford_003343,12
jesus_000194,7
oxford_003595,12
magdalen_001034,9
all_souls_000192,0
magdalen_000541,9
oxford_000031,12
magdalen_000377,9
cornmarket_000068,5
pitt_rivers_000063,13
oxford_002345,12
oxford_001520,12
oxford_000309,12
oriel_000070,11
oxford_001906,12
oxford_003464,12
oxford_002862,12
keble_000232,8
radcliffe_camera_000333,14
all_souls_000085,0
keble_000175,8
pitt_rivers_000002,13
oxford_000008,12
hertford_000121,6
radcliffe_camera_000416,14
oxford_000989,12
oxford_002085,12
magdalen_001119,9
magdalen_000370,9
balliol_000161,2
oxford_001320,12
christ_church_000757,4
new_000914,10
pitt_rivers_000176,13
oxford_001920,12
christ_church_000184,4
magdalen_000297,9
trinity_000330,15
keble_000057,8
oxford_002150,12
christ_church_000275,4
keble_000143,8
radcliffe_camera_000426,14
magdalen_000570,9
oxford_002960,12
balliol_000067,2
oxford_003179,12
oxford_003537,12
new_000056,10
oxford_002880,12
oxford_002887,12
radcliffe_camera_000209,14
magdalen_000738,9
radcliffe_camera_000303,14
new_000967,10
oxford_000974,12
christ_church_001067,4
oxford_001045,12
trinity_000051,15
bodleian_000329,3
christ_church_000575,4
christ_church_000419,4
magdalen_000560,9
oxford_002331,12
all_souls_000014,0
radcliffe_camera_000371,14
christ_church_000061,4
bodleian_000238,3
oxford_002821,12
oxford_000732,12
oxford_002354,12
christ_church_000049,4
jesus_000005,7
radcliffe_camera_000269,14
radcliffe_camera_000437,14
magdalen_000479,9
christ_church_000141,4
christ_church_001008,4
keble_000167,8
all_souls_000130,0
oxford_002532,12
oxford_000504,12
new_000393,10
new_001112,10
jesus_000327,7
trinity_000140,15
magdalen_000339,9
christ_church_000642,4
oriel_000003,11
new_000435,10
magdalen_000532,9
christ_church_000563,4
radcliffe_camera_000290,14
radcliffe_camera_000408,14
christ_church_000683,4
oxford_000588,12
ashmolean_000151,1
jesus_000293,7
bodleian_000073,3
jesus_000326,7
oxford_001949,12
worcester_000119,16
magdalen_000649,9
all_souls_000215,0
ashmolean_000180,1
radcliffe_camera_000330,14
oxford_003538,12
new_001023,10
oxford_002896,12
new_000242,10
bodleian_000043,3
magdalen_000753,9
oxford_003271,12
oxford_002719,12
balliol_000073,2
worcester_000192,16
christ_church_000410,4
oxford_002273,12
christ_church_000755,4
magdalen_000739,9
oxford_003269,12
magdalen_000047,9
oxford_000590,12
pitt_rivers_000142,13
hertford_000083,6
oxford_003520,12
worcester_000184,16
bodleian_000014,3
oxford_003335,12
trinity_000355,15
oriel_000097,11
trinity_000069,15
new_000651,10
oxford_003267,12
oxford_003292,12
oxford_002130,12
oxford_002124,12
cornmarket_000107,5
oxford_003672,12
keble_000233,8
oxford_000238,12
oxford_002158,12
all_souls_000059,0
new_000121,10
magdalen_000244,9
oxford_001769,12
christ_church_000315,4
christ_church_000304,4
oxford_002694,12
new_000389,10
oriel_000078,11
radcliffe_camera_000038,14
oxford_000071,12
oxford_002155,12
christ_church_000796,4
balliol_000151,2
oxford_000180,12
oxford_003132,12
oriel_000007,11
jesus_000277,7
magdalen_000006,9
christ_church_000154,4
hertford_000064,6
oxford_001961,12
all_souls_000208,0
new_000936,10
new_000197,10
oxford_003153,12
oxford_002358,12
new_000630,10
balliol_000104,2
pitt_rivers_000166,13
magdalen_000638,9
radcliffe_camera_000172,14
trinity_000045,15
oxford_001752,12
keble_000113,8
oxford_002646,12
christ_church_000348,4
bodleian_000398,3
ashmolean_000077,1
jesus_000356,7
oxford_000753,12
oxford_001556,12
christ_church_000055,4
oxford_000812,12
magdalen_000366,9
oxford_002100,12
bodleian_000164,3
trinity_000139,15
magdalen_000710,9
christ_church_000455,4
magdalen_000849,9
bodleian_000190,3
magdalen_000283,9
oxford_000098,12
pitt_rivers_000128,13
oxford_001676,12
keble_000089,8
bodleian_000084,3
trinity_000109,15
christ_church_000651,4
oxford_003014,12
new_000798,10
magdalen_000143,9
radcliffe_camera_000335,14
new_000371,10
ashmolean_000096,1
new_001048,10
oxford_000324,12
christ_church_000183,4
radcliffe_camera_000140,14
oxford_001924,12
ashmolean_000244,1
christ_church_000734,4
oxford_001757,12
magdalen_000571,9
oxford_000192,12
new_000446,10
oxford_001567,12
christ_church_000871,4
oxford_002951,12
radcliffe_camera_000522,14
magdalen_000442,9
radcliffe_camera_000100,14
oxford_001131,12
new_000111,10
oxford_003450,12
christ_church_000038,4
oriel_000073,11
magdalen_000645,9
new_000335,10
trinity_000017,15
christ_church_000589,4
new_000899,10
oxford_001474,12
radcliffe_camera_000130,14
oxford_002860,12
oxford_000190,12
oxford_003559,12
jesus_000062,7
jesus_000290,7
ashmolean_000301,1
new_001014,10
christ_church_000347,4
trinity_000237,15
magdalen_000484,9
new_000882,10
ashmolean_000219,1
oxford_003030,12
magdalen_000195,9
trinity_000099,15
oxford_002143,12
christ_church_000126,4
new_000002,10
ashmolean_000292,1
bodleian_000165,3
oriel_000111,11
magdalen_000637,9
oxford_000581,12
christ_church_000956,4
trinity_000089,15
oxford_001608,12
oxford_000277,12
oxford_001829,12
magdalen_001144,9
oxford_003566,12
magdalen_000191,9
bodleian_000444,3
oxford_000520,12
oxford_000379,12
magdalen_000218,9
magdalen_000811,9
new_000332,10
ashmolean_000167,1
christ_church_001045,4
oxford_003145,12
christ_church_000389,4
christ_church_000340,4
magdalen_000073,9
bodleian_000194,3
oxford_002103,12
bodleian_000425,3
magdalen_001120,9
hertford_000076,6
new_000859,10
all_souls_000193,0
oxford_002662,12
trinity_000375,15
jesus_000083,7
oxford_002135,12
magdalen_000311,9
christ_church_000873,4
christ_church_000903,4
oxford_001318,12
oxford_000380,12
magdalen_001028,9
cornmarket_000085,5
magdalen_000517,9
oxford_000135,12
balliol_000134,2
christ_church_000085,4
radcliffe_camera_000331,14
christ_church_000424,4
magdalen_001001,9
oxford_000375,12
oriel_000039,11
trinity_000052,15
oxford_002576,12
christ_church_000559,4
worcester_000150,16
christ_church_000398,4
worcester_000113,16
bodleian_000040,3
oxford_002344,12
pitt_rivers_000046,13
oxford_000527,12
magdalen_000652,9
bodleian_000077,3
bodleian_000355,3
new_000815,10
oxford_002364,12
balliol_000048,2
oxford_001753,12
pitt_rivers_000074,13
balliol_000077,2
magdalen_001042,9
oxford_002892,12
oxford_003570,12
magdalen_001141,9
keble_000031,8
magdalen_000667,9
new_000427,10
jesus_000035,7
christ_church_000181,4
pitt_rivers_000037,13
bodleian_000010,3
ashmolean_000065,1
oxford_001870,12
new_000373,10
oxford_000030,12
bodleian_000375,3
oxford_002584,12
oxford_002952,12
new_001003,10
oxford_001308,12
new_000539,10
magdalen_000945,9
oxford_001056,12
oriel_000076,11
balliol_000116,2
christ_church_000638,4
magdalen_000874,9
balliol_000018,2
new_000300,10
oxford_000871,12
christ_church_000792,4
new_000939,10
oxford_001521,12
hertford_000034,6
magdalen_000110,9
radcliffe_camera_000108,14
new_000985,10
oxford_003290,12
oxford_001707,12
trinity_000064,15
christ_church_000944,4
oriel_000119,11
new_000805,10
jesus_000261,7
oxford_002597,12
oxford_000741,12
oxford_000567,12
jesus_000051,7
christ_church_001022,4
magdalen_000022,9
new_000392,10
pitt_rivers_000118,13
cornmarket_000020,5
oxford_002592,12
christ_church_001009,4
oxford_000239,12
bodleian_000389,3
ashmolean_000064,1
keble_000018,8
magdalen_001031,9
christ_church_000984,4
bodleian_000108,3
oxford_001064,12
magdalen_000052,9
ashmolean_000016,1
oxford_002007,12
oxford_000273,12
radcliffe_camera_000293,14
bodleian_000291,3
christ_church_000144,4
jesus_000391,7
bodleian_000387,3
oxford_003097,12
radcliffe_camera_000458,14
oxford_003129,12
new_000372,10
oxford_000167,12
oriel_000122,11
oxford_003182,12
magdalen_001140,9
bodleian_000187,3
oxford_001542,12
bodleian_000001,3
oxford_001277,12
oxford_002870,12
oxford_002205,12
magdalen_000456,9
oxford_003513,12
oxford_000496,12
pitt_rivers_000157,13
trinity_000224,15
christ_church_000831,4
bodleian_000283,3
oxford_003041,12
magdalen_000468,9
magdalen_000865,9
magdalen_000985,9
magdalen_001029,9
keble_000237,8
oxford_002869,12
trinity_000046,15
magdalen_000708,9
trinity_000308,15
oxford_000409,12
radcliffe_camera_000337,14
worcester_000112,16
christ_church_000074,4
bodleian_000420,3
magdalen_000151,9
oxford_002725,12
oxford_000884,12
pitt_rivers_000117,13
keble_000238,8
oxford_002464,12
oxford_002968,12
oxford_003496,12
christ_church_000172,4
magdalen_000481,9
trinity_000193,15
cornmarket_000087,5
oxford_002272,12
trinity_000364,15
magdalen_000301,9
worcester_000187,16
christ_church_000898,4
oxford_001114,12
hertford_000128,6
balliol_000196,2
oxford_003078,12
magdalen_000155,9
radcliffe_camera_000563,14
radcliffe_camera_000350,14
new_000285,10
oxford_002547,12
new_000878,10
jesus_000186,7
christ_church_000175,4
oxford_002462,12
oxford_001722,12
christ_church_000377,4
christ_church_000408,4
christ_church_000414,4
hertford_000035,6
bodleian_000345,3
christ_church_000996,4
christ_church_001071,4
trinity_000359,15
new_000987,10
magdalen_000212,9
oxford_003454,12
all_souls_000090,0
oxford_003615,12
magdalen_000868,9
new_000180,10
worcester_000144,16
christ_church_000612,4
trinity_000371,15
radcliffe_camera_000266,14
oxford_000177,12
christ_church_000985,4
christ_church_000815,4
ashmolean_000187,1
radcliffe_camera_000345,14
magdalen_000165,9
magdalen_000624,9
trinity_000081,15
magdalen_000763,9
new_000050,10
jesus_000280,7
oxford_000018,12
ashmolean_000283,1
oxford_001065,12
magdalen_000360,9
oxford_002166,12
radcliffe_camera_000052,14
jesus_000034,7
magdalen_000437,9
christ_church_001033,4
christ_church_000543,4
pitt_rivers_000199,13
oxford_002417,12
